number,value,datetime_start,datetime_complete,duration,params_changepoint_prior_scale,params_growth,params_holidays_prior_scale,params_seasonality_mode,params_seasonality_prior_scale,state
0,17.015047346668783,2026-01-08 22:58:17.873446,2026-01-08 22:58:37.516086,0 days 00:00:19.642640,0.010253509690168494,linear,1.5702970884055387,multiplicative,7.114476009343421,COMPLETE
1,16.074954057917985,2026-01-08 22:58:37.553297,2026-01-08 22:58:54.891723,0 days 00:00:17.338426,0.0026364803038431655,linear,3.9676050770529883,additive,0.014936568554617643,COMPLETE
2,15.88588451279425,2026-01-08 22:58:54.923516,2026-01-08 22:59:14.172970,0 days 00:00:19.249454,0.001136467270001117,linear,3.142880890840109,multiplicative,8.123245085588687,COMPLETE
3,15.931031495720534,2026-01-08 22:59:14.201999,2026-01-08 22:59:37.213454,0 days 00:00:23.011455,0.0031261029103110596,linear,0.3752055855124282,multiplicative,0.08179499475211674,COMPLETE
4,18.20304442868308,2026-01-08 22:59:37.266277,2026-01-08 23:00:01.582973,0 days 00:00:24.316696,0.044809759182149515,linear,0.07523742884534858,additive,0.02621087878265441,COMPLETE
5,20.875573404124196,2026-01-08 23:00:01.620115,2026-01-08 23:00:26.553949,0 days 00:00:24.933834,0.13157287601765633,linear,0.34890188454913873,multiplicative,0.039721107273819126,COMPLETE
6,18.49767927182993,2026-01-08 23:00:26.587731,2026-01-08 23:00:50.270342,0 days 00:00:23.682611,0.04362599362560559,linear,0.015673095467235415,additive,0.03247673570627449,COMPLETE
7,22.3092565678069,2026-01-08 23:00:50.290414,2026-01-08 23:01:16.176433,0 days 00:00:25.886019,0.15199881220083966,linear,0.019634341572933336,multiplicative,0.08200518402245831,COMPLETE
8,16.208653761454325,2026-01-08 23:01:16.201526,2026-01-08 23:01:38.546057,0 days 00:00:22.344531,0.0021348999901951954,linear,0.012681352169084602,multiplicative,0.3058656666978526,COMPLETE
9,19.41361789555113,2026-01-08 23:01:38.567964,2026-01-08 23:02:01.468222,0 days 00:00:22.900258,0.06139426050898151,linear,0.3632486956676606,multiplicative,0.08612579192594885,COMPLETE
10,16.457787075072975,2026-01-08 23:02:01.485614,2026-01-08 23:02:22.417604,0 days 00:00:20.931990,0.011014024612528508,linear,8.102356207766633,additive,6.282693165407424,COMPLETE
11,16.017063336521417,2026-01-08 23:02:22.442345,2026-01-08 23:02:44.720594,0 days 00:00:22.278249,0.0010518638637973042,linear,1.1740376432888777,multiplicative,1.2044019268603865,COMPLETE
12,16.063466319041996,2026-01-08 23:02:44.746840,2026-01-08 23:03:03.198857,0 days 00:00:18.452017,0.005052333388246476,linear,0.06954771451368803,multiplicative,0.6274019884922927,COMPLETE
13,15.796627765290722,2026-01-08 23:03:03.212402,2026-01-08 23:03:23.099702,0 days 00:00:19.887300,0.0010851336934041538,linear,1.129681750433274,multiplicative,2.252333007508321,COMPLETE
14,16.098071798152922,2026-01-08 23:03:23.127999,2026-01-08 23:03:41.469945,0 days 00:00:18.341946,0.0010695090612476649,linear,1.3728157893547088,multiplicative,2.436653543864306,COMPLETE
15,16.64209736897058,2026-01-08 23:03:41.502996,2026-01-08 23:03:59.933978,0 days 00:00:18.430982,0.007890497862651743,linear,2.964528594212291,multiplicative,3.2131595004796574,COMPLETE
16,16.089579828724897,2026-01-08 23:03:59.949613,2026-01-08 23:04:18.920466,0 days 00:00:18.970853,0.0015693619283005606,linear,9.478822072147352,multiplicative,9.230173202670679,COMPLETE
17,19.71387557965745,2026-01-08 23:04:18.951877,2026-01-08 23:04:49.319720,0 days 00:00:30.367843,0.40839653619565885,linear,0.6273192754994111,multiplicative,2.220402745314194,COMPLETE
18,17.203538989801764,2026-01-08 23:04:49.351233,2026-01-08 23:05:10.694408,0 days 00:00:21.343175,0.021933563125376115,linear,0.1595393833346764,additive,0.4639548462267544,COMPLETE
19,16.14901461239985,2026-01-08 23:05:10.748729,2026-01-08 23:05:33.336149,0 days 00:00:22.587420,0.005963646487245906,linear,3.65070258199148,multiplicative,1.3091392886221673,COMPLETE
20,15.91666028101539,2026-01-08 23:59:39.041650,2026-01-08 23:59:59.706532,0 days 00:00:20.664882,0.003633766575879606,linear,0.9197208114507626,multiplicative,4.013304511519152,COMPLETE
21,15.965349253817811,2026-01-08 23:59:59.735850,2026-01-09 00:00:20.010142,0 days 00:00:20.274292,0.003316491965562958,linear,0.6533632384676854,multiplicative,4.292735697891597,COMPLETE
22,16.138357178697788,2026-01-09 00:00:20.041797,2026-01-09 00:00:39.850596,0 days 00:00:19.808799,0.0016288385498182572,linear,2.7760473184374006,multiplicative,1.4219311318955836,COMPLETE
23,15.993779988857009,2026-01-09 00:00:39.872185,2026-01-09 00:01:00.939384,0 days 00:00:21.067199,0.0010687180386384314,linear,1.1212339588192453,multiplicative,4.398584307779223,COMPLETE
24,15.922491858680345,2026-01-09 00:01:00.963618,2026-01-09 00:01:22.836177,0 days 00:00:21.872559,0.0039442447930104945,linear,0.7283931796633115,multiplicative,9.843047683935842,COMPLETE
25,16.03289920116112,2026-01-09 00:01:22.881078,2026-01-09 00:01:43.930828,0 days 00:00:21.049750,0.0018313533274607588,linear,0.16904386170251523,multiplicative,0.758776472305873,COMPLETE
26,16.93783293214447,2026-01-09 00:01:43.956193,2026-01-09 00:02:04.034508,0 days 00:00:20.078315,0.017547492660436412,linear,2.0691346393219954,additive,0.26475736370673425,COMPLETE
27,15.996838256182528,2026-01-09 00:02:04.058898,2026-01-09 00:02:26.253948,0 days 00:00:22.195050,0.002144031432060535,linear,5.1077846423755,multiplicative,5.460091832375459,COMPLETE
28,15.983315797198449,2026-01-09 00:02:26.277877,2026-01-09 00:02:54.276827,0 days 00:00:27.998950,0.004934446144129554,linear,5.5241802949937915,multiplicative,2.234396085393753,COMPLETE
29,17.315117220443234,2026-01-09 00:02:54.309658,2026-01-09 00:03:28.520914,0 days 00:00:34.211256,0.013224125005885162,linear,1.8829492035849793,multiplicative,3.235328566229211,COMPLETE
30,16.619279285881394,2026-01-09 00:03:28.558366,2026-01-09 00:03:57.762505,0 days 00:00:29.204139,0.00798662090663311,linear,0.8951565781244052,multiplicative,6.443273906365318,COMPLETE
31,15.95324240101098,2026-01-09 00:03:57.794240,2026-01-09 00:04:22.232749,0 days 00:00:24.438509,0.003652709937802567,linear,0.5872127889434886,multiplicative,9.138857015199836,COMPLETE
32,16.005881046504218,2026-01-09 00:04:22.251148,2026-01-09 00:04:40.411051,0 days 00:00:18.159903,0.0015086316463398582,linear,1.8830897975312355,multiplicative,8.515449415977589,COMPLETE
33,15.926400675303,2026-01-09 00:04:40.436007,2026-01-09 00:04:59.131980,0 days 00:00:18.695973,0.002939693590529469,linear,0.8985581545799686,multiplicative,4.044518604063754,COMPLETE
34,,2026-01-09 00:04:59.148031,2026-01-09 00:05:05.190078,0 days 00:00:06.042047,0.004045428332504413,linear,0.5906310714560026,additive,9.72936850191823,FAIL
