number,value,datetime_start,datetime_complete,duration,params_changepoint_prior_scale,params_growth,params_holidays_prior_scale,params_seasonality_mode,params_seasonality_prior_scale,state
13,15.796627765290722,2026-01-08 23:03:03.212402,2026-01-08 23:03:23.099702,0 days 00:00:19.887300,0.0010851336934041538,linear,1.129681750433274,multiplicative,2.252333007508321,COMPLETE
2,15.88588451279425,2026-01-08 22:58:54.923516,2026-01-08 22:59:14.172970,0 days 00:00:19.249454,0.001136467270001117,linear,3.142880890840109,multiplicative,8.123245085588687,COMPLETE
20,15.91666028101539,2026-01-08 23:59:39.041650,2026-01-08 23:59:59.706532,0 days 00:00:20.664882,0.003633766575879606,linear,0.9197208114507626,multiplicative,4.013304511519152,COMPLETE
24,15.922491858680345,2026-01-09 00:01:00.963618,2026-01-09 00:01:22.836177,0 days 00:00:21.872559,0.0039442447930104945,linear,0.7283931796633115,multiplicative,9.843047683935842,COMPLETE
33,15.926400675303,2026-01-09 00:04:40.436007,2026-01-09 00:04:59.131980,0 days 00:00:18.695973,0.002939693590529469,linear,0.8985581545799686,multiplicative,4.044518604063754,COMPLETE
3,15.931031495720534,2026-01-08 22:59:14.201999,2026-01-08 22:59:37.213454,0 days 00:00:23.011455,0.0031261029103110596,linear,0.3752055855124282,multiplicative,0.08179499475211674,COMPLETE
31,15.95324240101098,2026-01-09 00:03:57.794240,2026-01-09 00:04:22.232749,0 days 00:00:24.438509,0.003652709937802567,linear,0.5872127889434886,multiplicative,9.138857015199836,COMPLETE
21,15.965349253817811,2026-01-08 23:59:59.735850,2026-01-09 00:00:20.010142,0 days 00:00:20.274292,0.003316491965562958,linear,0.6533632384676854,multiplicative,4.292735697891597,COMPLETE
28,15.983315797198449,2026-01-09 00:02:26.277877,2026-01-09 00:02:54.276827,0 days 00:00:27.998950,0.004934446144129554,linear,5.5241802949937915,multiplicative,2.234396085393753,COMPLETE
23,15.993779988857009,2026-01-09 00:00:39.872185,2026-01-09 00:01:00.939384,0 days 00:00:21.067199,0.0010687180386384314,linear,1.1212339588192453,multiplicative,4.398584307779223,COMPLETE
