number,value,datetime_start,datetime_complete,duration,params_changepoint_prior_scale,params_growth,params_holidays_prior_scale,params_seasonality_mode,params_seasonality_prior_scale,state
0,,2026-01-08 23:21:09.473372,2026-01-08 23:51:36.089477,0 days 00:30:26.616105,0.010253509690168494,linear,1.5702970884055387,multiplicative,7.114476009343421,FAIL
1,,2026-01-08 23:55:56.267134,2026-01-08 23:59:02.862132,0 days 00:03:06.594998,0.010253509690168494,linear,1.5702970884055387,multiplicative,7.114476009343421,FAIL
2,,2026-01-09 00:05:56.824094,2026-01-09 00:05:56.871623,0 days 00:00:00.047529,,,,,,FAIL
3,6560.59202451891,2026-01-09 00:07:22.231309,2026-01-09 00:35:44.771630,0 days 00:28:22.540321,0.010253509690168494,linear,1.5702970884055387,multiplicative,7.114476009343421,COMPLETE
4,11541.41228021353,2026-01-09 00:35:44.819339,2026-01-09 01:05:56.148577,0 days 00:30:11.329238,0.0026364803038431655,linear,3.9676050770529883,additive,0.014936568554617643,COMPLETE
5,14959.518170804951,2026-01-09 01:05:56.193523,2026-01-09 02:35:07.503300,0 days 01:29:11.309777,0.001136467270001117,linear,3.142880890840109,multiplicative,8.123245085588687,COMPLETE
6,7403.865725607803,2026-01-09 02:35:07.535063,2026-01-09 05:23:51.337656,0 days 02:48:43.802593,0.0031261029103110596,linear,0.3752055855124282,multiplicative,0.08179499475211674,COMPLETE
7,5674.141794537575,2026-01-09 05:23:51.365682,2026-01-09 05:38:57.701270,0 days 00:15:06.335588,0.044809759182149515,linear,0.07523742884534858,additive,0.02621087878265441,COMPLETE
8,12184.816410210367,2026-01-09 05:38:57.729546,2026-01-09 06:13:35.489697,0 days 00:34:37.760151,0.13157287601765633,linear,0.34890188454913873,multiplicative,0.039721107273819126,COMPLETE
9,3149.99063805467,2026-01-09 06:13:35.521126,2026-01-09 06:27:35.500856,0 days 00:13:59.979730,0.04362599362560559,linear,0.015673095467235415,additive,0.03247673570627449,COMPLETE
10,5281.728762279863,2026-01-09 06:27:35.528577,2026-01-09 06:52:50.619769,0 days 00:25:15.091192,0.15199881220083966,linear,0.019634341572933336,multiplicative,0.08200518402245831,COMPLETE
11,,2026-01-09 06:52:50.635501,,,0.0021348999901951954,linear,0.012681352169084602,multiplicative,0.3058656666978526,RUNNING
