number,value,datetime_start,datetime_complete,duration,params_attention_head_size,params_batch_size,params_dropout,params_gradient_clip_val,params_hidden_continuous_size,params_hidden_size,params_learning_rate,state
0,11.026581764221191,2025-11-25 23:20:17.681905,2025-11-25 23:58:06.340926,0 days 00:37:48.659021,4,32,0.14016725176148134,0.09486373774747933,32,32,0.0007106591851092234,COMPLETE
1,14.173066139221191,2025-11-25 23:58:06.369614,2025-11-26 00:26:50.736124,0 days 00:28:44.366510,2,128,0.09382169728028272,0.1159964106889528,32,96,0.00045598044903929434,COMPLETE
2,9.640697479248047,2025-11-26 00:26:50.755188,2025-11-26 01:26:36.402476,0 days 00:59:45.647288,4,64,0.09569206537600561,0.11466238370778892,24,96,0.0011736424885649085,COMPLETE
3,12.773143768310547,2025-11-26 01:26:36.430979,2025-11-26 02:00:59.404222,0 days 00:34:22.973243,2,32,0.19543769416468382,0.14453119645161816,24,96,0.00032472055144502877,COMPLETE
4,12.298505783081055,2025-11-26 02:00:59.439716,2025-11-26 02:29:04.779167,0 days 00:28:05.339451,3,128,0.09214017645310713,0.1490820855620362,32,96,0.0003678017207756257,COMPLETE
5,11.47789478302002,2025-11-26 02:29:04.812233,2025-11-26 02:56:40.582817,0 days 00:27:35.770584,2,128,0.1037698592816409,0.08444908452002166,24,96,0.001775685400639093,COMPLETE
6,12.77696704864502,2025-11-26 02:56:40.614746,2025-11-26 03:21:57.609686,0 days 00:25:16.994940,4,64,0.16411775729253464,0.10992787128509847,24,32,0.0006139084009044482,COMPLETE
7,11.447630882263184,2025-11-26 03:21:57.625324,2025-11-26 03:49:14.310210,0 days 00:27:16.684886,2,128,0.11155743845534447,0.09128549010778031,16,96,0.00031808294336876616,COMPLETE
8,10.168816566467285,2025-11-26 03:49:14.349714,2025-11-26 04:22:03.107344,0 days 00:32:48.757630,3,128,0.1711160232746094,0.10989754520383793,16,96,0.0025516370943178554,PRUNED
9,10.162257194519043,2025-11-26 04:22:03.131666,2025-11-26 04:42:04.127394,0 days 00:20:00.995728,3,32,0.19143645558687788,0.14802474579046726,32,32,0.0019730405938976764,PRUNED
10,11.994720458984375,2025-11-26 04:42:04.143129,2025-11-26 05:10:41.657248,0 days 00:28:37.514119,4,64,0.05358958107705209,0.12862815014551388,48,64,0.0011306611392069446,COMPLETE
11,11.369156837463379,2025-11-26 05:10:41.683345,2025-11-26 05:40:58.355377,0 days 00:30:16.672032,4,32,0.1391805147697483,0.09799905931451772,48,32,0.000972036511583467,COMPLETE
12,10.729716300964355,2025-11-26 05:40:58.372176,2025-11-26 06:13:59.983221,0 days 00:33:01.611045,4,64,0.1309389432139368,0.12571022121009495,24,64,0.0006601418234483113,PRUNED
13,10.271622657775879,2025-11-26 06:14:00.023579,2025-11-26 06:28:13.128715,0 days 00:14:13.105136,4,64,0.0677101784877911,0.09964969271352332,32,32,0.001467769489686047,PRUNED
14,10.327149391174316,2025-11-26 06:28:13.162447,2025-11-26 07:00:31.610044,0 days 00:32:18.447597,4,32,0.1474225279685888,0.08383714057548099,24,32,0.0006980623131020564,PRUNED
15,9.815207481384277,2025-11-26 07:00:31.652718,2025-11-26 08:01:35.277557,0 days 01:01:03.624839,3,64,0.0793893482827768,0.12558595517296095,32,64,0.0013237163709349123,COMPLETE
16,10.51352310180664,2025-11-26 08:01:35.311273,2025-11-26 08:35:08.607602,0 days 00:33:33.296329,3,64,0.07853795230276364,0.13148972684764737,16,64,0.0013306402268988984,PRUNED
17,10.460213661193848,2025-11-26 08:35:08.623691,2025-11-26 09:09:13.728906,0 days 00:34:05.105215,3,64,0.11712302539275954,0.11957926548958803,48,64,0.0023798612431949096,PRUNED
18,9.91919994354248,2025-11-26 09:09:13.756187,2025-11-26 09:42:52.198557,0 days 00:33:38.442370,3,64,0.05014719563702541,0.13430774202347376,32,64,0.0009158767366572763,PRUNED
19,12.915465354919434,2025-11-26 09:42:52.227700,2025-11-26 10:10:41.361769,0 days 00:27:49.134069,3,64,0.07540060080417416,0.1369795593904482,24,64,0.0014805465038512419,COMPLETE
