number,value,datetime_start,datetime_complete,duration,params_attention_head_size,params_batch_size,params_dropout,params_gradient_clip_val,params_hidden_continuous_size,params_hidden_size,params_learning_rate,state
0,,2025-11-26 21:56:31.102259,2025-11-26 21:56:31.892961,0 days 00:00:00.790702,4,64,0.14016725176148134,0.09486373774747933,32,32,0.0007106591851092234,FAIL
1,1481.258056640625,2025-11-26 22:34:25.462265,2025-11-26 23:40:30.753678,0 days 01:06:05.291413,4,64,0.14016725176148134,0.09486373774747933,32,32,0.0007106591851092234,COMPLETE
2,1521.172119140625,2025-11-26 23:40:30.771460,2025-11-27 00:28:26.097561,0 days 00:47:55.326101,2,256,0.09382169728028272,0.1159964106889528,32,96,0.00045598044903929434,COMPLETE
3,1472.3502197265625,2025-11-27 00:28:26.134265,2025-11-27 01:15:40.380880,0 days 00:47:14.246615,4,128,0.09569206537600561,0.11466238370778892,24,96,0.0011736424885649085,COMPLETE
4,1570.5194091796875,2025-11-27 01:15:40.405290,2025-11-27 02:07:05.607144,0 days 00:51:25.201854,2,64,0.19543769416468382,0.14453119645161816,24,96,0.00032472055144502877,PRUNED
5,1756.6534423828125,2025-11-27 02:07:05.632551,2025-11-27 02:31:37.947151,0 days 00:24:32.314600,3,256,0.09214017645310713,0.1490820855620362,32,96,0.0003678017207756257,COMPLETE
6,1562.7281494140625,2025-11-27 02:31:37.966947,2025-11-27 03:00:17.999653,0 days 00:28:40.032706,2,256,0.1037698592816409,0.08444908452002166,24,96,0.001775685400639093,PRUNED
7,1540.16455078125,2025-11-27 03:00:18.031176,2025-11-27 03:30:15.944052,0 days 00:29:57.912876,4,128,0.16411775729253464,0.10992787128509847,24,32,0.0006139084009044482,PRUNED
8,1478.9041748046875,2025-11-27 03:30:15.975392,2025-11-27 04:03:41.054421,0 days 00:33:25.079029,2,256,0.11155743845534447,0.09128549010778031,16,96,0.00031808294336876616,PRUNED
9,1516.9078369140625,2025-11-27 04:03:41.089490,2025-11-27 04:37:05.507128,0 days 00:33:24.417638,3,256,0.1711160232746094,0.10989754520383793,16,96,0.0025516370943178554,PRUNED
10,1534.179443359375,2025-11-27 04:37:05.532695,2025-11-27 05:11:11.095752,0 days 00:34:05.563057,3,64,0.19143645558687788,0.14802474579046726,32,32,0.0019730405938976764,PRUNED
11,1482.882080078125,2025-11-27 05:11:11.122963,2025-11-27 05:41:13.956879,0 days 00:30:02.833916,4,128,0.05358958107705209,0.12862815014551388,48,64,0.0011306611392069446,PRUNED
12,1513.453125,2025-11-27 05:41:13.990071,2025-11-27 06:31:47.498174,0 days 00:50:33.508103,4,64,0.1391805147697483,0.09799905931451772,48,32,0.000972036511583467,PRUNED
13,1468.6497802734375,2025-11-27 06:31:47.518746,2025-11-27 07:05:03.696743,0 days 00:33:16.177997,4,128,0.1309389432139368,0.12571022121009495,24,64,0.0006601418234483113,COMPLETE
14,1436.978271484375,2025-11-27 07:05:03.728112,2025-11-27 07:57:03.772008,0 days 00:52:00.043896,4,128,0.0733724553677963,0.12717049042583514,24,64,0.0013330671999449842,COMPLETE
15,1478.7984619140625,2025-11-27 07:57:03.816958,2025-11-27 08:25:04.832471,0 days 00:28:01.015513,3,128,0.058853695967981505,0.12911893496285481,24,64,0.0006928766634610407,COMPLETE
16,1446.2938232421875,2025-11-27 08:25:04.870516,2025-11-27 08:53:15.848820,0 days 00:28:10.978304,4,128,0.0793893482827768,0.13261293973710522,24,64,0.001454205767800031,COMPLETE
17,1563.1649169921875,2025-11-27 08:53:15.883573,2025-11-27 09:21:24.382795,0 days 00:28:08.499222,3,128,0.06791398873520446,0.13601175303917565,24,64,0.001433342443225007,PRUNED
18,1502.10595703125,2025-11-27 09:21:24.412187,2025-11-27 09:51:47.303225,0 days 00:30:22.891038,4,128,0.0760876945305718,0.13794510816202782,24,64,0.00247048555197581,PRUNED
19,1465.4512939453125,2025-11-27 09:51:47.327673,2025-11-27 10:22:23.530688,0 days 00:30:36.203015,4,128,0.07929408803279599,0.12242839455244095,48,64,0.001535082911796919,COMPLETE
20,1411.659912109375,2025-11-27 10:22:23.560756,2025-11-27 11:24:11.734419,0 days 01:01:48.173663,4,128,0.11409079481557678,0.1369795593904482,16,64,0.0013220793316764184,COMPLETE
